train_step,forward_agent/optimal_pd,method,source
20,71.39833481761428,RISC,risc
99,78.24040713051978,RISC,risc
120,77.91695680129239,RISC,risc
141,77.19360840008065,RISC,risc
194,76.33836877140202,RISC,risc
234,71.97831617184963,RISC,risc
290,74.99643612675672,RISC,risc
311,72.91393198885902,RISC,risc
332,71.87662514986292,RISC,risc
386,70.132477225997,RISC,risc
419,77.22894548079971,RISC,risc
440,85.84003833662314,RISC,risc
461,85.97281385267748,RISC,risc
527,83.4365134636796,RISC,risc
568,81.68364638950759,RISC,risc
674,79.17131455263554,RISC,risc
731,82.41362595554075,RISC,risc
752,80.88366889680294,RISC,risc
773,79.33876063965516,RISC,risc
864,84.88243781845485,RISC,risc
885,84.72566363907855,RISC,risc
974,82.19709511616041,RISC,risc
995,81.72200270663019,RISC,risc
1044,81.41260556873013,RISC,risc
1065,81.03876234516424,RISC,risc
1099,80.7683817541288,RISC,risc
1149,85.00325550386373,RISC,risc
1170,85.42551128306664,RISC,risc
1191,89.26541677663221,RISC,risc
1212,89.48708586650925,RISC,risc
1364,91.63983591676752,RISC,risc
1385,92.25437341832884,RISC,risc
1439,87.49279423400098,RISC,risc
1536,91.62990438117166,RISC,risc
1610,86.49266278620308,RISC,risc
1631,83.4987146764039,RISC,risc
1676,81.26476289987097,RISC,risc
1719,83.01203600350115,RISC,risc
1763,82.45837784499737,RISC,risc
1784,82.37234598017461,RISC,risc
1818,83.40481165563176,RISC,risc
1839,82.29412388898896,RISC,risc
1893,83.17480998789834,RISC,risc
1972,84.17299951963572,RISC,risc
2002,84.78147626018358,RISC,risc
2023,83.73622382562642,RISC,risc
2044,83.02479890517144,RISC,risc
2065,82.22256725487416,RISC,risc
2168,78.78753220838539,RISC,risc
2189,75.38787714541463,RISC,risc
2282,77.11886065652047,RISC,risc
2303,78.310961677826,RISC,risc
2324,79.68481742755166,RISC,risc
2387,80.41399092270683,RISC,risc
2408,80.75061264927056,RISC,risc
2429,81.303473875819,RISC,risc
2477,79.03956425228228,RISC,risc
2498,82.09278549761724,RISC,risc
2537,82.32697454036301,RISC,risc
2603,83.98731848313429,RISC,risc
2624,81.02679072815118,RISC,risc
2675,83.68162282792045,RISC,risc
2790,82.52064014379069,RISC,risc
2883,84.55882473153403,RISC,risc
2904,83.7865669923097,RISC,risc
2953,85.15949425178442,RISC,risc
2974,86.91975242847974,RISC,risc
2995,87.07901871636582,RISC,risc
3050,88.00787595813061,RISC,risc
3071,84.52151604313846,RISC,risc
3125,88.89954864234052,RISC,risc
3146,87.00660663040523,RISC,risc
3167,86.67381396911838,RISC,risc
3212,86.81916503751704,RISC,risc
3310,86.25843750816803,RISC,risc
3407,80.43029122702708,RISC,risc
3428,84.7934405844532,RISC,risc
3463,85.03332534929574,RISC,risc
3505,82.7125251923417,RISC,risc
3526,87.43938139162462,RISC,risc
3547,87.75405782800613,RISC,risc
3604,86.38250405939668,RISC,risc
3668,83.3450406358935,RISC,risc
3750,82.89486838169438,RISC,risc
3771,80.64028865003759,RISC,risc
3792,73.95446505239602,RISC,risc
3897,74.77761625595211,RISC,risc
3966,75.52390264217456,RISC,risc
3987,74.3014129492466,RISC,risc
4132,78.67301749372831,RISC,risc
4153,79.54984744501724,RISC,risc
4174,78.87774419002224,RISC,risc
4195,78.19368088170758,RISC,risc
4292,81.06535675841168,RISC,risc
4313,79.67733181875506,RISC,risc
4364,71.16385190463672,RISC,risc
4464,71.03086448231248,RISC,risc
4485,76.05104319145327,RISC,risc
4506,74.73586618869858,RISC,risc
4583,79.63640197862149,RISC,risc
4604,75.98796162393458,RISC,risc
4640,79.93396121003025,RISC,risc
4661,82.59006113727601,RISC,risc
4700,81.57652544303683,RISC,risc
4721,84.86598644679079,RISC,risc
4840,84.87005499374534,RISC,risc
4867,86.22939100019424,RISC,risc
4927,72.24420343149666,RISC,risc
5005,67.59038420614685,RISC,risc
5026,68.13656043477044,RISC,risc
5088,75.61264228294958,RISC,risc
5115,83.08283413181783,RISC,risc
5136,83.44115062251795,RISC,risc
5157,82.75299645642757,RISC,risc
5178,77.50892024607582,RISC,risc
5223,77.96593013039661,RISC,risc
5271,76.03426849413724,RISC,risc
5292,79.00628647031296,RISC,risc
5313,78.77715957305212,RISC,risc
5363,82.43345625029458,RISC,risc
5399,82.151988214509,RISC,risc
5420,52.235904973798284,RISC,risc
5446,70.02449629907277,RISC,risc
5567,78.19506339547033,RISC,risc
5588,83.33870641615991,RISC,risc
5696,81.19697388075944,RISC,risc
5723,81.02740421929995,RISC,risc
5744,80.2309807540535,RISC,risc
5765,76.23060206235097,RISC,risc
5786,80.66284256724227,RISC,risc
5807,71.35148631341983,RISC,risc
5846,68.83940763571117,RISC,risc
5867,69.51919003918758,RISC,risc
5970,82.12087627528555,RISC,risc
5991,79.83678207323364,RISC,risc
6012,71.33386598275877,RISC,risc
6033,72.5142358954494,RISC,risc
6114,69.8120073660749,RISC,risc
6135,74.80221548562925,RISC,risc
6174,73.98864388876767,RISC,risc
6195,71.83289521884322,RISC,risc
6272,71.40033122207505,RISC,risc
6293,72.0970367162098,RISC,risc
6373,66.02895477860265,RISC,risc
6394,70.67554592975509,RISC,risc
6419,69.77163511271556,RISC,risc
6440,69.55181784327664,RISC,risc
6524,69.80007926056734,RISC,risc
6618,70.41768428883671,RISC,risc
6639,70.39030011248084,RISC,risc
6669,72.9851137655698,RISC,risc
6735,70.14318340443579,RISC,risc
6810,68.31147810710442,RISC,risc
6890,64.94710515087709,RISC,risc
6911,55.87982714803572,RISC,risc
6932,67.3388203533787,RISC,risc
6953,77.87001842872834,RISC,risc
6974,79.42825429175183,RISC,risc
7024,74.1136571786224,RISC,risc
7100,56.878205457815746,RISC,risc
7166,73.1082685000311,RISC,risc
7250,74.09480009880853,RISC,risc
7296,70.6721163218196,RISC,risc
7345,69.1469745172653,RISC,risc
7393,67.43737536677915,RISC,risc
7415,66.39934186368095,RISC,risc
7436,64.5010055483737,RISC,risc
7459,59.74172921311492,RISC,risc
7480,62.02782637157386,RISC,risc
7506,68.12601577929665,RISC,risc
7527,69.99634970233114,RISC,risc
7548,69.28064127270605,RISC,risc
7569,67.17701044616132,RISC,risc
7591,66.88905254668262,RISC,risc
7653,69.43817511396274,RISC,risc
7674,72.84312749624584,RISC,risc
7695,68.62638778654826,RISC,risc
7723,67.61354322056226,RISC,risc
7744,69.45496497063792,RISC,risc
7765,70.54621624046817,RISC,risc
7838,69.90610181806335,RISC,risc
7880,70.00569329532638,RISC,risc
7908,69.86720026136437,RISC,risc
7962,69.63167567438532,RISC,risc
7983,73.2080754877694,RISC,risc
8014,72.67063322722778,RISC,risc
8035,70.68709438313428,RISC,risc
8097,70.10117016363488,RISC,risc
8129,69.62176575360098,RISC,risc
8150,69.828312103865,RISC,risc
8171,65.51812728249415,RISC,risc
8291,67.87629224217457,RISC,risc
8312,66.41893372641124,RISC,risc
8393,67.59356681315394,RISC,risc
8414,69.7632014003051,RISC,risc
8460,70.86956957999001,RISC,risc
8481,66.28584549796182,RISC,risc
8523,70.44976382035455,RISC,risc
8544,79.62613872777973,RISC,risc
8572,77.71835345890746,RISC,risc
8617,75.73003767619254,RISC,risc
8649,80.77645559703083,RISC,risc
8722,80.98990972033194,RISC,risc
8743,79.35161896555422,RISC,risc
8764,78.62046713700596,RISC,risc
8796,77.440881780536,RISC,risc
8817,76.66458297397413,RISC,risc
8838,78.91521911683975,RISC,risc
8884,77.08442306152298,RISC,risc
8923,73.19251550291474,RISC,risc
8944,69.10314676541537,RISC,risc
8978,77.1948313806031,RISC,risc
8999,81.41017378870173,RISC,risc
9028,76.54535136004634,RISC,risc
9049,68.8192637053633,RISC,risc
9070,68.67133211374602,RISC,risc
9112,70.61649942283253,RISC,risc
9164,74.47882797113456,RISC,risc
9185,74.49018839493216,RISC,risc
9247,77.67846178584948,RISC,risc
9268,76.48096601957431,RISC,risc
9316,77.2148619667103,RISC,risc
9337,68.60315977422164,RISC,risc
9358,69.60612219459487,RISC,risc
9416,68.97474616475463,RISC,risc
9443,67.98285658807009,RISC,risc
9474,67.60315358416739,RISC,risc
9495,71.03363837619624,RISC,risc
9516,71.48241874353187,RISC,risc
9569,71.20014818524626,RISC,risc
9624,69.16916779584093,RISC,risc
9645,69.48457110601485,RISC,risc
9704,69.25790388427711,RISC,risc
9725,73.27280899442513,RISC,risc
9746,70.80017061488594,RISC,risc
9806,70.46332369693508,RISC,risc
9850,72.71460072268948,RISC,risc
9924,71.96363002054778,RISC,risc
9945,69.25846339033279,RISC,risc
10001,69.8752077390113,RISC,risc
10040,68.20109417388672,RISC,risc
10061,67.59288497502412,RISC,risc
10106,73.4881112490269,RISC,risc
10148,75.52245126027034,RISC,risc
10169,75.7678547497069,RISC,risc
10271,72.99204614841737,RISC,risc
10311,73.47681328099627,RISC,risc
10373,73.77898999882075,RISC,risc
10422,67.70591943966491,RISC,risc
10443,68.51731777437644,RISC,risc
10464,68.0988393920388,RISC,risc
10485,73.60208331358864,RISC,risc
10529,71.84197138927097,RISC,risc
10550,70.37572959236196,RISC,risc
10596,72.6423664772758,RISC,risc
10617,67.45322046073319,RISC,risc
10708,69.44287545266482,RISC,risc
10802,68.00922196358835,RISC,risc
10844,74.58207390494044,RISC,risc
10879,69.15977054454865,RISC,risc
10909,71.10212444013499,RISC,risc
10963,70.47438398619104,RISC,risc
10999,65.90958978569938,RISC,risc
11020,71.03579373407838,RISC,risc
11041,75.97819809066463,RISC,risc
11080,68.49040716963255,RISC,risc
11101,67.6745197697145,RISC,risc
11137,66.6005471928479,RISC,risc
11158,68.8443269931824,RISC,risc
11188,69.01032810102133,RISC,risc
11246,71.69008373807554,RISC,risc
11267,69.58335834689964,RISC,risc
11288,67.4593701267645,RISC,risc
11336,67.42361597410876,RISC,risc
11381,68.24574004980664,RISC,risc
11412,69.22966021957066,RISC,risc
11433,68.28734452716849,RISC,risc
11454,69.7241587481411,RISC,risc
11475,70.3657004174768,RISC,risc
11504,70.91687441772783,RISC,risc
11525,78.74039810135788,RISC,risc
11546,80.74306813990768,RISC,risc
11585,81.88588246739631,RISC,risc
11606,82.31459700255046,RISC,risc
11640,81.82197066514787,RISC,risc
11681,81.7374945079062,RISC,risc
11739,81.47308821916181,RISC,risc
11760,83.44132870965879,RISC,risc
11816,57.46800729211511,RISC,risc
11837,34.35822293182497,RISC,risc
11877,26.226802902333695,RISC,risc
11898,38.23760108620352,RISC,risc
11949,23.380935958660125,RISC,risc
