train_step,returns,method,source,environment,seed
10000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
20000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
30000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
40000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
50000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
60000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
70000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
80000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
90000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
100000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
110000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
120000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
130000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
140000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
150000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
160000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
170000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
180000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
190000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
200000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
210000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
220000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
230000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
240000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
250000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
260000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
270000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
280000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
290000.0,0.0,RISC w/o timeout aware bootstrapping,risc,Sawyer Peg,2
